MEDICATION,DOSAGE_EN,DOSAGE_KA,DESCRIPTION_EN,DESCRIPTION_KA,NOTE_EN,FOOD_EN,BE_CAREFUL_EN,DO_NOT_GIVE_EN,SIDE_EFFECTS_EN,INTERACTIONS_EN,PREGNANCY_EN,BREAST_FEEDING_EN,IMPORTANT_EN,LENGTH_OF_TREATMENT_EN,DOXY_AND_CHILDREN_EN,NOTE_KA,FOOD_KA,BE_CAREFUL_KA,DO_NOT_GIVE_KA,SIDE_EFFECTS_KA,INTERACTIONS_KA,PREGNANCY_KA,BREAST_FEEDING_KA,IMPORTANT_KA,LENGTH_OF_TREATMENT_KA,DOXY_AND_CHILDREN_KA
Aspirin,1 tab = 300 mg,၁ ဖျၢၣ် = ၃၀၀ mg,To treat pain and inflammation.,ကသံၣ်ကူစါတၢ်အဆါဒီးတၢ်ညီး။,,Take with food or full glass of water to decrease stomach upset.,"Asthma, allergy, dehydration, gastric pain, G6PD deficiency, old people.","Gastric ulcer, Dengue Fever, children less than 16 years.","Gastric upset, bronchospasm.","- Aspirin increases effect of Phenytoin. 
- Prednisolone and Dexamethasone increase risk of stomach and intestinal bleeding).
- Aspirin decreases effect of Spironolactone.",Do not give last month of pregnancy.,Do not give.,,,,,အီၣ်ဃုာ်ဒီးတၢ်အီၣ်မ့တမ့ၢ်ထံတခွးလၢကမၤလီၤစှၤ၀ဲတၢ်ဟၢဖၢဆါ။,"တၢ်သးဘံးတၢ်ဆါ၊ ဂာ်တဖီး၊ တၢ်ထံသံးနိသံး၊ကဖုဆါ၊
 (ကၠံၤစံၣ်ဖံၤဒံၤ)လီၤထုး၊ ၦၤသးၦၢ်ဖးဒိၣ်။",ကဖုတၢ်ဆါ၊ ဒဲကံၢ်တိးကွ့တၢ်ဆါ ၊ဖိသၣ်စှၤန့ၢ်၁၆နံၣ်။,ကဖုဆါ၊ကသါဃံး၊ (ဘြိခိၤစဖၤ)။,"- (Aspirin) မၤအါထီၣ်ကသံၣ (Phenytoin) အသဟီၣ်။ -(Prednisolone) ဒီး (Dexamethasone) န့ၣ်မၤအါထီၣ်၀ဲတၢ်ကီတၢ်ခဲ
 လၢသွံၣ်ယွၤလၢကဖုဒီးၦံာ်ပူၤသ့လီၤ။ - (Aspirin) မၤလီၤစှၤကသံၣ (Spironolactone) အသဟီၣ်နၣ့်လီၤ။",တဘၣ်ဟ့ၣ်ၦၤမိၢ်ဒၢအလီၢ်ခံကတၢၢ်တလါဘၣ်။,တဘၣ်ဟ့ၣ်ဘၣ်။,,,
Atenolol,1 tab = 50 mg,၁ ဖျၢၣ် = ၅၀ mg,To treat High Blood Pressure,ကသံၣ်ကူစါသွံၣ်တၢ်ဆီၣ်သနံးထီၣ်,,Can be taken with or without food.,"Kidney diseases, unstable heart failure","Asthma, diabetes.","Nightmares, cold extremities, tiredeness, low blood pressure, dizziness.",,Give only if necessary,Can give,See Hydrochlorothiazide.,,,,အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။,ကလ့ၢ်တၢ်ဆါ၊ သးဖျၢၣ်တမၤတၢ်မၤဘၣ်။,တၢ်သးဘံးတၢ်ဆါဒီးဆံၣ်ဆၢတၢ်ဆါ။,တၢ်မံမီၢ်လၢအလီၤပျံၤလီၤဖုး(မံမီၢ်ထံၣ်သမှံတၢ်)၊ စုချံၣ်ခီၣ်ချံၣ်၊ လီၤဘှံး သွံၣ်တၢ်ဆီၣ်သနံးလီၤစှၤ၊ ခိၣ်မူၤ။,,မ့ၢ်သ့တဘၣ်ဟ့ၣ်တဂ့ၤ။,ဟ့ၣ်သ့။,ကွၢ်လၢ (Hydrochlorothiazide)။,,
Atropine,1 amp = 1 cc = 6 mg,၁ ပလီ = ၁ cc = ၆ mg,To dry secretions before using ketamine.,တချူးလၢပသ (Ketamine) သူကသံၣ် (Atropine) လၢကမၤသူက့ၤခၣ်ထံ၊ခၣ်သဘွဲသ့ၣ်တဖၣ်။,"Many medics use Atropine for abdominal pain/spasms, but its use for this problem is not recommended and its efficacy not sure.
It should not be used for abdominal pain.",,"Children and old people, gastro-oesophageal reflux, diarrhoea, high blood pressure, fever.",,"Constipation, temporary slow heart rate, dilatation of the pupils, pain in the eyes when looking at a light, dry mouth",,Give only if necessary,Give only if necessary,,,,"ကသံၣ်သရၣ်အါဂၤသူ၀ (Atropine) လၢဟၢဖၢဆါဂီၢ်ဘၣ်ဆၣ်ၦၤတတူၢ် လိာ်အီၤလၢ ကဘၣ်သူအီၤဘၣ်ဒီးတလီၤတံၢ်ဘၣ်နၣ့်လီၤ။
 ကသံၣ်အံၤတဘၣ်သူအီၤလၢတၢ်ဟၢဖၢဆါအဂီၢ်ဘၣ်။",,ဖိသၣ်ဒီးသးၦၢ်ဖးဒိၣ်သ့ၣ်တဖၣ်၊ သးကိၢ်အူ၊ တၢ်အ့ၣ်လူတၢ်ဆါ၊ သွံၣ်တၢ်ဆီၣ်သနံးထီၣ်၊ တၢ်ကိၢ်ထီၣ်။,,ဟၢဖၢကျၢၤ၊ သးဖျၢၣ်ဖုလီၤကဘှၢတစိၢ်ဖိ၊ မၤလဲၢ်ထီၣ်မဲာ်သၦၤဖိ မ့ၢ်ကွၢ်တၢ်ကပီၤန့ၣ်မဲာ်ချံပူၤဆါ ကီာ်ပူၤဃ့ထီ။,,မ့ၢ်လိၣ်နီၢ်နီၢ်ဒီးဟ့ၣ်သ့။,မ့ၢ်လိၣ်နီၢ်နီၢ်ဒီးဟ့ၣ်သ့။,,,
Azythromycin,1 tab = 250 mg,၁ ဖျၢၣ် = ၂၅၀ mg,"Antibiotic of the same group as Erythromycin.
More expensive, but more easy to use because is given once a day.
Useful to treat many bacterial infections: pneumonias, otitis, urethritis, tonsillitis, pharingytis, cellulitis, whooping cough (pertussis), cholera, STIs (see p. 130)",မ့ၢ်ကသ့ၣ်မၤသံတၢ်ဃၢ်တကလုာ်ဃီဒီး (Erythromycin) လီ။ အၦ့ၤဒိၣ်၀ဲဘၣ်ဆၣ်တၢ်သူအီၤညီ၀ဲခီဖျိတၢ်ဘၣ်အီအီၤတနံၤတဘျီလီၤ။ ကဲဘျုး၀ဲအါမးလၢတၢ်မၤသံ (ဘၣ်ထံရံယၤ) ဃၢ်နုာ်တဖၣ်၊ ပသိၣ်တၢ်ဃၢ်နုာ်၊ နၢ်ပူၤတၢ်ဃၢ်နုာ်၊ ဆံၣ်ကျိၤတၢ်ဃၢ်နုာ်၊ခၣ်သံၣ်တၢ်ဃၢ်နုာ်၊ ကိာ်ယုၢ်ပူၤတၢ်ဃၢ်နုာ်၊တၢ်ကူးဖးထီ၊ဖံးဘ့ၣ်တၢ်ဃၢ်နုာ်လၢအနး၊ (ခီလီရၤ) တၢ်အ့ၣ်လူ၊ တၢ်ဃၢ်နုာ်ခီဖျိတၢ်မံဃုာ်လိာ်သး (ကွၢ်လၢကဘျံးပၤ-၁၃၀)။,"-For community-acquired pneumonia give together with Ceftriaxone. For severe cases continue treatment for 7-10 days. 
- Together with re-hydration fluids, Azythromycin can shorten the duration of diarrhoea and reduce the volume of stool losses.
- Can be used in Typhoid Fever if there is resistance to Ciprofloxacin.",Can be taken with of without food.,Heart disease.,"Heart failure, liver failure. With Aluminium and Artesunate.","Joint pain, dizziness, headache, numbness, vision problems, taste not normal, gas in bowel. Not common: oedema, chest pain.",Aluminium reduces absorption of Azythrom.: do not give together.,Can give,Can give,,,,"ကသံၣ်လၢၦၤတ၀ၢလၢမၤန့ၢ်၀ဲလၢတၢ်ပသိၣ်တၢ်ဃၢ်နုာ်အဂီၢ်တဖၣ်န့ၣ်ဟ့ၣ်ဃုာ်အီၤဒီး (Ceftriaxone) တက့ၢ်။ ၦၤလၢဆိက့၀ဲနးနးတဖၣ်န့ၣ်ဟ့ၣ်အါထီၣ်အီၤကသံၣ်၇သီ-၁၀သီအဂီၢ်။ - ဘၣ်ဟ့ၣ်ဃုာ်ဒီးကသံၣ်အံသၣ်ထံတဖၣ် (Azythromycin) န့ၣ်မၤလီၤဖုၣ်၀ဲတၢ်အ့ၣ်လူ အကတီၢ်သ့၀ဲဒီးမၤလီၤစှၤတၢ်အ့ၣ်လူလီၤသ့၀ဲလီၤ။
 - သူ၀ဲလၢ(ထါဖၢၣ်)တၢ်လိၤကိၢ်သ့၀ဲဖဲအအီၣ်၀ဲ(Ciprofloxacin)တတဲာ်လၢၤဘၣ်အခါ။",အီၣ်ဃုာ်ဒီးတၢ်အီၣ်မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲလီၤ။,သးတၢ်ဆါ။,သးတမၤတၢ်မၤဘၣ်၊ သူၣ်တမၤတၢ်မၤဘၣ်၊ဟ့ၣ်ဃုာ် (Aluminium)၊ (Artesunate)။,စုခီၣ်ကမဲာ်ဆါ၊ ခိၣ်မူၤ၊ ခိၣ်ဆါ၊ တီၤတုၤ၊ တၢ်ထံၣ်အတၢ်ဂ့ၢ်ကီ၊ အီၣ်တၢ်တ၀ံၣ်၊ ကလံၤကး။ တၢ်ကဘုဒီးသးနါၦၢ်ဆါတဖၣ်န့ၣ်တညီနုၢ်ကဲထီၣ်သးဘၣ်။,(Aluminium)န့ၣ်မၤလီၤစှၤ၀ဲ(Azythromycin) အသဟီၣ်လီၤ-တဘၣ်ဟ့ၣ်ဃုာ်တပူၤဃီဘၣ်။,ဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
Benzathine Penicillin IM,****Give divided in 2 injections of 1.2 million IU in 2 sites,ကဘၣ်နီၤဖးကသံၣ်လၢစရ့၂ဘိဒီးဆဲးကသံၣ် ၁၂၀၀၀၀၀ (၍္က) လၢတၢ်လီၢ်ခံတီၤ။,Antibiotic similar to Penicillin V and Amoxicillin.,ကသံၣ်မၤသံ (ဘၣ်ထံရံယၤ) ဃၢ်ဒ်သိး ဒီး (Penicillin) ဒီး (Amoxicillin) ။,,,,,,,,,,,,,,,,,,,,,,
Benzyl Benzoate (BBE) Lotion,,,To treat Lice and Scabies.,ကသံၣ်ပံာ်ထံကူစါသူၣ်ဒီးတၢ်သးဃ့အဂီၢ်။,,,,,,,,,,,,,,,,,,,,,,
Buscopan (Hyoschine Butylbromide),1 vial = 1 cc = 20 mg,၁ ပလီ = ၁ cc = ၂၀ mg,To relieve pain from muscular spasms of urinary tract and intestine/bowel (kidney/liver colics).,ကသံၣ်မၤကိညၢ်လီၤက့ၤတၢ်အဆါလၢယုၢ်ညၣ်ဘံးအသးလၢဆံၣ်ကျိၤဒီးၦံာ်ဖိ (ကလ့ၢ်၊သူၣ်ကလံၤဆဲး)။,,Give with a full glass of water. Do not chew.,Old people; high blood pressure; diarrhoea.,,Constipation; urinary urgency and retention; dry mouth.,,Give only if necessary,Can give,,,,,,ၦၤသးၦၢ်ဖးဒိၣ်၊ သွံၣ်တၢ်ဆီၣ်သနံးထီၣ်၊ ဟၢဖၢလူ။,,ဟၢဖၢကျၢၤ၊ အဲၣ်ဒိးဆံၣ်ဆါဒီးဆံၣ်အိၣ်တၢ့်၊ ကိာ်ပူၤဃ့ထီ။,,မ့လိၣ်ဘၣ်နီၢ်နီၢ်ကဘၣ်သူ။ မ့တလိၣ်ဘၣ်တဘၣ်သူဘၣ်။,ဟ့ၣ်သ့။,,,
Carbamazepine,"1 tab = 200 mg. 1. Start with the lowest dose. 
2. Increase with small dose every week until no more seizures.","၁ ဖျၢၣ် = ၂၀၀ mg ၁ႉ စးထီၣ်အီၣ်ကသံၣ်(ဒိးစ်) လၢအစှၤကတၢၢ်။
 ၂ႉ ကဘၣ်မၤအါထီၣ်ကသံၣ်(ဒိးစ်)တစဲးတစဲးတနွံတဘျီတုၤလၢအထီၣ်တအိၣ်လၢၤဘၣ်။","To treat epilepsy.
First choice for focal and general epilepsy.","ကသံၣ်ကူစါထီးပျုၢ်တၢ်ဆါ။
 ကသံၣ်လၢတၢ်သူစိအီၤလၢထီၣ်ဒီတဂၤဒီးထီၣ်တပၤမ့တမ့ၢ်ထီၣ်ထဲတၢ်လီၢ်တတီၤလၢမိၢ်ၦၢ်လိၤ။",,Give with food or full glass of water to decrease stomach upset.,"Heart disease, kidney disease, liver disease.",,"Nausea and vomiting, dizziness, drowsiness, headache, confusion, vision problems (especially seing double), rash, blood disorders. 
Blurring of vision and dizziness are dose-related and will go away if the dose is decreased or sometimes if time of taking the medication is changed.",,Do not give.,Can give,,,,,အီၣ်ဃုာ်ဒီးတၢ်အီၣ်မ့တမ့ၢ်ထံတခွးလၢကမၤလီၤစှၤ၀ဲတၢ်ဟၢဖၢဆါတက့ၢ်။,သးတၢ်ဆါ၊ ကလ့ၢ်တၢ်ဆဒီးသူၣ်တၢ်ဆါ။,,သးကလဲၤဒီးဘၣ်သးဘီှး ၊ ခိၣ်မူၤ၊ မိၣ်မံခ့သး၊ခိၣ်သၣ်ဃံဆါ၊ထၢမံထၢမၣ်၊ ထံၣ်တၢ်ခံကထၢ၊လိၤဖှိၣ်ထီၣ်ဒီးသွံၣ်တဘၣ်လီၢ်ဘၣ်စး။ ပမ့ၢ်မၤစှၤလီၤကသံၣ်(ဒိးစ်)မ့တမ့ၢ်ဆီတလဲတၢ်အီကသံၣ်အဆၢကတီၢ်န့ၣ် တၢ်ခိၣ်မူၤဒီးထံၣ်တၢ်တရှဲဘၣ်လီၤမၢ်သ့၀ဲန့ၣ်လီၤ။,,တဘၣ်ဟ့ၣ်ဘၣ်။,ဟ့ၣ်သ့။,,,
Cefalexin,1 cap = 250 or 500 mg For UTI prophylaxis (prevention) DOSE: 12.5 mg/kg at night Open 1 (250) caps and dilute powder with 5 cc of water -> 1 cc = 50 mg,၁ ဖျၢၣ် = ၂၅၀ (မ့) ၄၀၀ mg လၢတၢ်ဒီသဒၢဆံၣ်ကျိၤတၢ်ဃၢ်နုာ်တၢ်ဆါအဂီၢ် ဒိးစ်= ၁ kg နၢ့်ဟ့ၣ် ၁၂ႉ၅ mg လၢမုၢ်နၤခ အိးထီၣ်ကသံၣ်(၂၅၀)တဖျၢၣ်ဒီးကျဲၣ်ကျီအကမူၣ်ဒီးထံ၅စံၣ်စံၣ်တက့ၢ် -> ၁ cc = ၅၀ mg,"Antibiotic for bacterial infections: skin and soft tissue infections, urine tract infections, urine tract infections prophylaxis (prevention), pneumonia.
1st choice antibiotic for not-compicated Urinary Tract Infections.","ကသံၣ်မၤသံ(ဘၣ်ထံရံယၤ)ဃၢ်နုာ်တဖၣ်= ဖံးဘ့ၣ်ဒီးဘ့ၣ်ခိၣ်တၢ်ဃၢ်နုာ်၊ ဆံၣ်ကျိၤတၢ်ဃၢ်နုာ်၊
 တၢ်ဒီသဒၢဆံၣ်ကျိၤတၢ်ဃၢ်နုာ်၊ ပသိၣ်တၢ်ဃၢ်နုာ်။
 ဃုထၢကသံၣ်မၤသံတၢ်ဃၢ်အခီၣ်ထံးတခါလၢၦၤဆံၣ်ကျိၤတၢ်ဃၢ်နုာ်ဘၣ်ဆၣ်တၢ်ကီတၢ်ခဲတအိၣ်ဘၣ်။","- For simple UTI (lower UTI) give for 3 days. 
 - In pregnancy give for 7 days.
 - For complicated UTI (pyelonephritis) give for 7-10 days.",Can be taken with food or without food.,"- Patients with epilepsy: high levels can increase risk of seizures.
- Patients with kidney disease: decrease dose if kidney functions is not normal.
- Patients who had a rash or oedema after using Amoxicillin or Penicillin.",If history of severe rash using Ceftriaxone,"Rash, headache, feeling sick (nausea, diarrhoea, stomach pain).",Zinc can decrease absorption of Cefalexin. Do not give together,Can give,Can give,,,,"- ဆံၣ်ကျိၤတၢ်ဃၢ်နုာ်(ဆံၣ်ကျိၤတၢ်ဃၢ်နုာ်လၢဖီလာ်)ယိယိဖိန့ၣ်ဟ့ၣ်လၢ၃သီအတီၢ်ပူၤ။
 - ၦၤမိၢ်ဒၢန့ၣ်ဟ့ၣ်အီၤနွံသီတက့ၢ်။
 - ၦၤလၢအိၣ်ဒီးဆံၣကျိၤတၢ်ဃၢ်နုာ်တၢ်ဆါတၢ်ကီတၢ်ခဲ(ကလ့ၢ်ညီး)ဟ့ၣ်အီၤ ၇=၁၀
 သီတက့ၢ်။",အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်တၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။,"- ၦၤဆါလၢအအိၣ်ဒီးတၢ်ထီၣ်ထိးပျုၢ်တၢ်ဆါ။
 - ကသံၣ်အဂံၢ်မ့ၢ်ဆူၣ်န့ၣ်မၤဘၣ်ဒိ၀ဲၦၤလၢအအိၣ်ဒီးတၢ်ထီၣ်တၢ်ဆါတဖၣ်။
 - ၦၤလၢအိၣ်ဒီးကလ့ၢ်တၢ်ဆါဟ့ၣ်လီၤစှၤကသံၣ်ဒိးစ်ဖဲအကလ့ၢ်တမၤတၢ်ဂ့ၤ
 ဂ့ၤဘၣ်တက့ၢ်။
 - ၦၤဆါလၢမ့ၢ်အီ၀ဲကသံၣ (Amoxicillin) မ့ (Penicillin) တဖၣ်အံၤ၀ံၤန့ၣ်
 အလိၤဖှိၣ်ထီၣ်မ့တမ့ၢ်ကဘု။",ၦၤလၢအီ၀ဲကသံၣ (Ceftriaxone) အံၤဒီးအလိၤထီၣ်နးနးကလဲာ် တဖၣ်။,"လိၤထီၣ်ဂီၤပြုထီၣ်=ခိၣ်ဆါ=တူၢ်ဘၣ်လၢဆိက့ (သးကလဲၤ၊ အ့ၣ်လူ၊
 ဟၢဖၢဆါ)။","ကသံၣ (Zinc) န့ၣ်မၤလီၤစၢ်၀ (Cefalexin) အသဟီၣ်လီၤ။
 တဘၣ်ဟ့ၣ်ဃုာ်တဂ့ၤ။",ဟ့ၣ်သ့။,ဟ့ၣ်သ့ၢ။,,,
Ceftriaxone,1 amp = 1 g. Reconstitute 1 vial with 9.6 cc of Sterile Water ->10 cc: 1 cc = 100 mg,၁ ပလီ = ၁ g ဒၢနုာ်မူခိၣ်ထံ ၉ႉ၆ cc န့ၣ်အိၣ်၀ဲ ၁၀စံၣ်စံၣ်ႉ ၁၀ cc လီၤလၢ၀ဲ ၁၀၀ mg,"Antibiotic for severe bacterial infections.
Use as 1st choice. 2nd choice use Ampicillin + Gentamicin.",ကသံၣ်မၤသံ (ဘၣ်ထံရံယၤ) ဃၢ်နုာ်လၢအနးတဖၣ်။ သူကျဲအခီၣ်ထံးတဘိ ကျဲခံဘိတဘိန့ၣ်ဟ့ၣ် (Ampicillin) ဒီး (Gentamicin)။,,,Dehydration.,Neonates with jaundice (yellow eyes and skin).,"Diarrhoea, headache",,Can give.,Can give.,,,,,,တၢ်ထံသံးနိသံး။,ဖိသၣ်ညီနုၢ်အညၣ်ဘီ (မဲာ်ချံဘီဒီးဖံးဘ့ၣ်ထီၣ်ဘီ)။,ဟၢဖၢလူ၊ ခိၣ်ဆါ။,,ဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
Cetirizine,1 tab = 10 mg,၁ ဖျၢၣ် = ၁၀ mg,"Anti-allergic which does not make people too sleepy.
For urticaria and allergic reactions (does not treat the cause, only the symptoms).","ကသံၣ်ကူစါ ဂာ်တဖီး လၢအတမၤမံခ့နၤဒိၣ်ဒိၣ်ဘၣ်။
 တၢ်ဘ့ၣ်ပြုထီၣ်မဲာ်ညိးဒီးဂာ်တဖီးတၢ်ဒိဆၢက့ၤတၢ်
 (တဘၣ်ကူစါယါဘျါလၢတၢ်ဆါအဂီၢ်ဘၣ်မ့ၢ်၀ဲဒၣ်လၢတၢ်ဆါအတၢ်ပနီၣ်အဂီၢ်လီၤ)။",,Can be taken with or without food,"Old people, people with liver and kidney diseases, epilepsy, people who drink alcohol, people who work with machinery or driving.",,"Headache (especially in children), drowsiness, abdominal pain.",Alcohol increases drowsiness.,Give only if necessary,Give only if necessary,,,,,အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။,"ၦၤသူၣ်က့သးၦၢ်၊ ၦၤလၢအအိၣ်ဒီးသူၣ်တၢ်ဆါကလ့ၢ်တၢ်ဆါတဖၣ်၊ တၢ်ထီၣ်ထိးပျုၢ်
 တၢ်ဆါ၊ ၦၤလၢသူတၢ်မူၤတၢ်ဘှီး၊ ၦၤလၢအမၤတၢ်လၢစဲးဖီကဟၣ်မ့တမ့ၢ်ၦၤနီကါ။",,ခိၣ်ဆါ(လီၤဆီဒၣ်တၢ်ဖိသၣ်တဖၣ်)၊ မိၣ်မံခ့သး၊ ဟၢဖၢဆါ။,တၢ်မူၤတၢ်ဘှီးန့ၣ်မၤအါထီၣ်၀ဲတၢ်မိၣ်မံခ့သး။,မ့ၢ်လိၣ်နီၢ်နီၢ်။,မ့ၢ်လိၣ်နီၢ်နီၢ်။,,,
Chloramphenicol,eye drops,ကသံၣ်စီၤ (ကၠီၤ)မဲာ,Antibiotic to treat bacterial conjunctivitis or to prevent bacterial infections after eye injuries.,ကသံၣ်မၤသံ (ဘၣ်ထံရံယၤ) ဃၢ်လၢအမ့ၢ် (ဘၣ်ထံရံယၤ) ဃၢ်နုာ်လၢမဲာ်ချံကိညါပူၤဒီးညိးထီၣ်အဂီၢ်၊ မဲာ်ချံညီးထီၣ်၊ (မ့) ဒီသဒၢတၢ်ဆါ (ဘၣ်ထံရံယၤ) ဃၢ်ဖဲမဲာ်ချံဘၣ်ဒိ၀ံၤလီၢ်ခံ။,,,,,,,,,,,,,,,,,,,,,,
Chloroquine,,,See MALARIA PROTOCOLS,ကွၢ်လၢ တၢ်ညၣ်ဂိၢ်ဃၢ်ကသံၣ်အကျိၤအကျဲ ။,,,,,,,,,,,,,,,,,,,,,,
Chlorpheniramine - ORAL,1 tab = 4 mg,၁ ဖျၢၣ် = ၄ mg,"For urticaria and allergic reactions (does not treat the cause, only the symptoms).",တၢ်ဘ့ၣ်ပြုထီၣ်မဲာ်ညိးဒီးဂာ်တဖီးဒီးလၢတၢ်တမံၤမံၤအပနီၣ်(တဘၣ်ကူစါယါဘျါလၢတၢ်ဆါအဂီၢ်ဘၣ်မ့ ၢ်၀ဲဒၣ်လၢတၢ်ဆါအတၢ်ပနီၣ်အဂီၢ်လီၤ)။,,Take with food or full glass of water to decrease stomach upset,See Cetirizine.,"Children with epilepsy, people who need to drive or to operate machinery.","Drowsiness, headache, dry mouth, blurred vision, urinary retention.",Alcohol increases drowsiness.,Give only if necessary,Give only if necessary,,,,,အီၣ်ဒီးတၢ်အီၣ်မ့တမ့ၢ်အီလီၤဒီးထံတခွးလၢကမၤလီၤစှၤတၢ်ဟၢဖၢဆါလီၤ။,ကွၢ်လၢ (Cetirizine) ။,ဖိသၣ်လၢအအိၣ်ဒီးတၢ်ထီၣ်ထိးပျုၢ်တၢ်ဆါ၊ ၦၤလၢအဘၣ်နီကါမ့တမ့ၢ် ကွၢ်ထွဲစဲးဖီကဟၣ်တဖၣ။်,မိၣ်မံခ့သး၊ ခိၣ်ဆါ၊ ကိာ်ပူၤဃ့ထီ၊ မဲာ်ကဒု၊ ဆံၣ်အိၣ်တ့ၢ်၊ ဆံၣ်တလဲၤဘၣ်။,တၢ်မူၤတၢ်ဘှီးန့ၣ်မၤအါထီၣ်၀ဲတၢ်မိၣ်မံခ့သး။,မ့ၢ်လိၣ်နီၢ်နီၢ်ဒီးဟ့ၣ်သ့။,မ့ၢ်လိၣ်နီၢ်နီၢ်ဒီးဟ့ၣ်သ့။,,,
