MEDICATION,DOSAGE_EN,DOSAGE_KA,DESCRIPTION_EN,DESCRIPTION_KA,NOTE_EN,FOOD_EN,BE_CAREFUL_EN,DO_NOT_GIVE_EN,SIDE_EFFECTS_EN,INTERACTIONS_EN,PREGNANCY_EN,BREAST_FEEDING_EN,IMPORTANT_EN,LENGTH_OF_TREATMENT_EN,DOXY_AND_CHILDREN_EN,NOTE_KA,FOOD_KA,BE_CAREFUL_KA,DO_NOT_GIVE_KA,SIDE_EFFECTS_KA,INTERACTIONS_KA,PREGNANCY_KA,BREAST_FEEDING_KA,IMPORTANT_KA,LENGTH_OF_TREATMENT_KA,DOXY_AND_CHILDREN_KA
Chlorpheniramine - IV/IM,1 amp =1 cc = 10 mg,၁ ပလီ = ၁ cc = ၁၀ mg,"For emergency treatment of anaphylactic reactions (allergic shock) together with Adrenaline. 
Give Adrenaline first!",ကသံၣ်ကူစါလၢတၢ်ဆါတကလုာ်လၢအဟဲကဲထီၣ်သးလၢ ဂာ်တဖီးတၢ်ဒိဆၢက့ၤတၢ် (ဂာ်တဖီးဒီးတၢ်တမံၤမံၤ(ရှီၣ်)၊ သူဃုာ်ဒီး ((Adrenaline)။ အဆိကတၢၢ်နၣ့်ဟ့ၣ်ကသံၣ်((Adrenaline)။,"Use 1 cc syringe if possible.
Give IV injection slowly, over 1 - 2 minutes.",,,,,,Can give,Can give,,,,"မ့ၢ်သ့သူ (syringe) ၁ cc ။
 ဟ့ၣ်ကသံၣ်ဆဲးလၢသွံၣ်ကျိၤကယီကယီႉ အါနၣ့် ၁=၂ မံးနံးန့ၣ်တက့ၢ်။",,,,,,ဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
Ciprofloxacin,1 tab = 250 or 500 mg,၁ ဖျၢၣ် = ၂၅၀ (မ့) ၅၀၀ mg,Antibiotic to be used for specific bacterial infections.,ကသံၣ်မၤသံ(ဘၣ်ထံရံယၤ) ဃၢ်လၢကဘၣ်သူအီၤလၢ (ဘၣ်ထံရံယၤ) ဃၢ်နုာ်သ့ၣ်တဖၣ်။,"Can be useful also in: bone, joint and gastro-intestinal infections.","Good to give with food to decrease gastric upset, but do NOT give with milk or yogurt.","Epilepsy; G6PD deficiency, kidney failure, children, old people, liver disease, people with diabetes.","- NSAID (Ibuprofen, Indomethacin, Diclofenac...), Erythromycin, Amytriptiline.
- In people with heart failure, hypertension, old people (unless there is no other option). ","Abdominal pain; dizziness; sleep disorders; convulsions;  jaundice. Not common: psychoses, photosensitivity. SEVERE: Tendinopathy and tendon rupture, peripheral neuropathy. Can be irreversible.","- Ferrous/Iron, Aluminium, Calcium and Zinc decrease absorption of Ciprofloxacin and decrease effect: give at separate times of the day (not together).
 - People taking anti-diabetic drugs may lose control of blood sugar when they take Ciprofloxacin.
 - Prednisolone and Dexamethasone may increase risk of tendon rupture.
 - Ciprofloxacin may decrease effect of Phenytoin.",Do not give.,Do not give.,,,,သူအီၤသ့လၢဃံ၊ စုကမဲာ်ခီၣ်ကမဲာ်ဒီးကဖုဒီးၦံာ်တၢ်ဃၢ်နုာ်တဖၣ်။,ဂ့ၤလၢကဘၣ်အီၣ်ဃုာ်ဒီးတၢ်အီၣ်ဒ်သိးကမၤလီၤစှၤ၀ဲတၢ်ကဖုဆါဘၣ် ဆၣ်တဘၣ်အီၣ်ဃုာ်ဒီးတၢ်နုၢ်ထံမ့တမ့ၢ်တၢ်နုၢ်ထံဆံၣ်(ယိကၢၣ်)တဂ့ၤ။,ထိးပျုၢ်တၢ်ဆါ၊ (ကၠံၤစံၣ်ဖံၤဒံၤ)လီၤထုး၊ ကလ့ၢ်တမၤတၢ်မၤဘၣ်၊ ဖိသၣ်၊ ၦၤသးၦၢ်၊၊ သူၣ်တၢ်ဆါ၊ ၦၤလၢအိၣ်ဒီးဆံၣ်ဆၢတၢ်ဆါတဖၣ်။,"- NSAID ကရူၢ်တဖၣ (Ibuprofen၊ Indomethacin၊ Diclofenac)၊
 (Erythromycin)၊ (Amytriptiline)။ - လၢၦၤအအိၣ်ဒီး သးဖျၢၣ်တမၤတၢ်မၤဘၣ်၊ သွံၣ်တၢ်ဆီၣ်သနံးထီၣ်၊ ၦၤသးၦၢ် (တၢ်ဃုထၢအဂၤမ့ၢ်တအိၣ်လၢၤဘၣ်ဒီးဟ့ၣ်သ့လီၤ)။",ဟၢဖၢဆါ၊ ခိၣ်မူၤ၊ မံတဘၣ်လီၢ်ဘၣ်စး၊ ထီၣ်၊ ဖံးဘ့ၣ်ဘီ၊ တဘျီတခီၣ်လီၤဂာ်ၦၤပျုၢ်၊ မုၢ်အီၣ်ဘ့ၣ်ကုညီ။ ထူၣ်ပျၢ်ညီးတၢ်ဆါဒီးထူၣ်ပျၢ်သ့ၣ်ဖး၊ စုခီၣ်ထူၣ်ပျၢ်ဟးဂီၤ။ တၢ်ဘှီက့ၤအီၤတန့ၢ်လၢၤဘၣ်ကဲထီၣ်၀ဲသ့လီၤ။,"- ကသံၣ် (Ferrous/Iron)၊ (Aluminium)၊ (Calcium) ဒီး (Zinc) ကထုးစှၤလီၤကသံၣ် (Ciprofloxacin) အသဟီၣ်တဘၣ်အီၣ်အီၤလၢ တၢ်ဆၢကတီၢ်တကတီၢ်ဃီပူၤဘၣ် (တမ့ၢ်တပူၤဃီဘၣ်)။
 - ၦၤလၢအအီၣ်၀ဲကသံၣ်တြီဆၢဆံၣ်ဆၢတၢ်ဆါတဖၣ်န့ၣ်ဖဲအ၀ဲသ့ၣ်အီၣ်၀ဲ (Ciprofloxacin) ကသံၣ်အခါန့ၣ်ကသံၣ်အံၤတြီဆၢတၢ်ဆၢလၢသွံၣ်ကျါ တန့ၢ်ဂ့ၤဂ့ၤလၢၤဘၣ်။ - (Prednisolone) ဒီး (Dexamethasone) ကမၤအါထီၣ်၀ဲတၢ်ကီတၢ်ခဲ လၢထူၣ်ပျၢ်သ့ၣ်ဖးကျါလီၤ။ - (Ciprofloxacin) မၤလီၤစှၤ၀ဲ (Phenytoin) အသဟီၣ်လီၤ။",တဘၣ်ဟ့ၣ်ဘၣ်။,တဘၣ်ဟ့ၣ်ဘၣ်။,,,
Clindamycin,1 cap = 150 or 300 mg,၁ ဖျၢၣ် = ၁၅၀ (မ့) ၃၀၀ mg,"Antibiotic for specific bacterial infections: bone and joints infections (osteomyelitis, septic arthritis), diabetic foot, tooth infections.
Used in combination with Artesunate or Quinine for PF malaria (see pag. 175).","ကသံၣ်မၤသံ (ဘၣ်ထံရံယၤ) ဃၢ်လၢမၤသံ၀ဲ (ဘၣ်ထံရံယၤ) ဃၢ်နုာ်လီၤလီၤဆီဆီတဖၣ်၊
 ဃံဒီးတၢ်အကမဲာ် တၢ်ဃၢ်နုာ် (တၢ်၀့ဖိးဃံ (ဃံပူၤ (ဘၣ်ထံရံယၤ) တၢ်ဃၢ်နုာ်၊
 စုကမဲာ်ခီၣ်ကမဲာ်ပူၤတၢ်ဃၢ်နုာ်)၊ ခီၣ်ဆံၣ်ဆၢတၢ်ဆါ၊ မဲတၢ်ဃၢ်နုာ်။ ဟ့ၣ်ကသံၣ်ပာ်ဖှိၣ်ဃုာ်ဒီး (Artesunate) မ့တမ့ၢ် (Quinine) လၢ (PF) တၢ်ညၣ်ဂိၢ်ဃၢ်တၢ်ဆါအဂီၢ် တက့ၢ် (ကွၢ်လၢကဘျံးပၤ ၁၇၅)။","- Can be used in patients with sepsis in combination with Ceftriaxone if you do not have Metronidazole iv or oral .
- To use in Malaria treatment see: PF Malaria treatment","- Can be taken with or without food.
- Good to take with a full glass of water to avoid oesophageal upset.",Liver disease,Small children,"Diarrhoea (if severe STOP immediately), nausea, rash.",,Can give,Can give,,,,- ၦၤဆါလၢအအိၣ်ဒီးတၢ်ဃၢ်နုာ်လၢသွံၣ်တဖၣ်န့ၣ်တၢ်ဟ့ၣ်အီၤသ့၀ဲဃုာ်ဒီး (Ceftriaxone) ဖဲ (Metronidazole) ကသံၣ်ဆဲးမ့တမ့ၢ်ကသံၣ်အီၣ်တအိၣ်ဘၣ် အခါလီၤ။ - တၢ်မ့ၢ်သူအီၤလၢတၢ်ကူဆါတၢ်ညၣ်ဂိၢ်ဃၢ်အဂီၢ်န့ၣ်ကွၢ်လၢတၢ်ကူဆါတၢ်ညၣ်ဂိၢ် ဃၢ် (PF) အပူၤတက့ၢ်(ကဘျံးပၤ ၁၇၅)။,"- အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။
 - ဂ့ၤလၢကဘၣ်အီၣ်လီၤဒီးထံတခွးလၢကိးယုၢ်ဘိတမုာ်ဘၣ်အဂီၢ်လီၤ။",သူၣ်တၢ်ဆါ။,ဖိသၣ်ဆံးတဖၣ်။,တၢ်ဟၢဖၢလူ(မ့ၢ်နးထီၣ်ဒီးပတုာ်ကသံၣ်တဘျီဃီ)၊ သးကလဲၤ၊ လိၤဖှိၣ်ထီၣ်။,,ဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
Clindamicin with Artesunate,,,See MALARIA PROTOCOLS,ကွၢ်လၢ တၢ်ညၣ်ဂိၢ်ဃၢ်ကသံၣ်အကျိၤအကျဲ ။,,,,,,,,,,,,,,,,,,,,,,
Cloxacillin,1 caps = 250 mg,၁ ဖျၢၣ် = ၂၅၀ mg,"Antibiotic used in chronic bone and respiratory infections, together with Metronidazole and Amoxicillin. Useful in skin infections.","ကသံၣ်မၤသံ (ဘၣ်ထံရံယၤ) ဃၢ်ဘၣ်တၢ်သူအီၤလၢဃံဒီးကလံၤကျိၤ တၢ်ဆါဃၢ်နုာ် လၢအယံာ်အထၢ သ့ၣ်တဖၣ်နၣ့်လီၤႉကသံၣ်၀ဲအံၤဘၣ်သူဃုာ်အီၤဒီး (Metronidazole) ဒီး (Amoxicillin)။
 ကဲဘျုးလၢဖံးဘ့ၣ်တၢ်ဃၢ်နုာ်နၣ့်လီၤ။",In chronic bone and respiratory infections give for 4 - 8 weeks in combination with Metronidazole and Amoxicillin.,Take 30 minutes before food.,,,"Jaundice, haemolytic anaemia.",,Can give,Can give,,,,ဃံတၢ်ဆါအယံာ်အထၢဒီးကလံာ်ကျိၤတၢ်ဆါဃၢ်နုာ်အဂီၢ်ဟ့ၣ် ၄-၈နွံဃုာ်ဒီးကသံၣ် (Metronidazole) ဒီး (Amoxicillin)။,အီကသံၣ်တချုးအီၣ်တၢ်အီၣ်တခီနၢ်ရံၣ်အမံးနံး၃၀။,,,ညၣ်ဘီတၢ်ဆါ၊ သွံၣ်ဂံၢ်စၢ်တၢ်ဆါကဲထီၣ်သးခီဖျိသွံၣ်ဂီၤဖျၢၣ်သ့ၣ်ဖး။,,ဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
Clotrimoxazole cream,cream,ကသံၣ်ဖ,Anti-fungal. To treat skin ringworms. Not very effective for scalp ringworm. Not effective for nail ringworm.,ကသံၣ်မၤသံကုၤဃၢ်နုာ်။ တၢ်မၤသံလၢဖံးဘ့ၣ်ခိၣ်တၢ်ဖှီတဖၣ်။ တဘၣ်လိာ်သးအါအါဒီးတၢ်ဖီှလၢခိၣ်ဘ့ၣ်လိၤဒီးတၢ်ဖှီစုမ့ၣ်လိၤတဖၣ်ဘၣ်။,,,,,,,,,,,,,,,,,,,,,,
Co-amoxiclav,1 tab = 250(A)+125(C) or 500(A) + 125(C) or 875(A)+ 125(C) mg,၁ ဖျၢၣ် =၂၅၀(A) + ၁၂၅(C) မ့ ၅၀၀(A) + ၁၂၅(C) မ့ ၈၇၅(A) + ၁၂၅(C) mg,"Antibiotic for bacteria infections when Amoxicillin does not work: respiratory tract infections, bone and joint infections, abdominal infections, cellulitis, tooth infections.",ကသံၣ်မၤသ (ဘၣ်ထံရံယၤ) ဃၢ်လၢမၤသ (ဘၣ်ထံရံယၤ) ဃၢ်နုာ်တဖၣ်ဖ (Amoxicillin) တမၤလၢၤတၢ်မၤအခါ- ကလံၤကျိၤတၢ်ဃၢ်နုာ်၊ ဃံဒီးစုကမဲာ်ခီၣ်ကမဲာ်တၢ်ဃၢ်နုာ်၊ ဟၢဖၢပူၤတၢ်ဃၢ်နုာ်၊ ဖံးဘ့ၣ်တၢ်ဃၢ်နုာ်တၢ်ဆါ၊ မဲဃၢ်တၢ်ဆါ။,,Better to take with food to decrease stomach upset.,"- Liver damage is more common using Co-amoxiclav than Amoxicillin alone. 
- Do not give therapy for longer than 14 days if possible.
- Stop if signs of liver damage (jaundice).",Liver disease.,Diarrhoea can be more severe than with Amoxicillin alone.,,Can give,Can give,,,,,ဂ့ၤလၢကဘၣ်အီၣ်ဃုာ်ဒီးတၢ်အီၣ်ဒ်သိးကမၤလီၤစှၤတၢ်ဟၢဖၢဆါလီၤ။,"- နမ့ၢ်အီၣ်၀ဲ (Co-amoxiclav) န့ၣ်ကမၤဘၣ်ဒိနသူၣ်အါန့ၢ်ဒံးဖဲနအီၣ်ထဲ (Amoxicillin)တခါဧိၤလီၤ။
 - မ့ၢ်သ့န့ၣ်တဘၣ်ဟ့ၣ်အီၤအါန့ၢ်တဆံလွံၢ်သီတဂ့ၤ။
 - ပတုာ်ကွံာ်ကသံၣ်အီၣ်အံၤဖဲၦၤဆါအံၤတၢ်ပနီၣ်ဖျါလၢအသူၣ်ဘၣ်ဒိ(လီၤဘီ)။",သူၣ်တၢ်ဆါ။,ကအ့ၣ်လူ၀ဲနးဒိၣ်ထီၣ်၀ဲဖဲတၢ်ဟ့ၣ်အီၣ်အီၤထဲ (Amoxicillin) တခါဧိၤအခါလီၤ။,,ဟ့ၣ်သ့။,ဟ့ၣ်သ့။,,,
Co-trimoxazole,1 tab = 480 mg. (= TRIMETHOPRIM 80 mg + SULFAMETHOXAZOLE 400 mg),၁ ဖျၢၣ် = ၄၈၀ mg (= TRIMETHOPRIM 80 mg + SULFAMETHOXAZOLE 400 mg),"Antibiotic for respiratory infections, skin bacterial infections, cellulitis, ear infections, animal bite infections, pneumonias in chronic pulmonary disease, proSTATitis, septic arthritis, diabetes foot infections, bone infections (in combination with Doxycycline).
You can use to treat acute Pneumonia, but if no improvement in 2 days, switch to Amoxicillin.",ကသံၣ်မၤသ (ဘၣ်ထံရံယၤ) ဃၢ်လၢကလံၤကျိၤ= ဖံးဘ့ၣ်ခိၣ်၊ ဖံးဘ့ၣ်ပူၤ၊ နၢ်ပူၤ၊ တၢ်ဖိဃၢ်အ့ၣ်၊ ပသိၣ်ကသါဃံးတၢ်ဆါလၢအယံာ်အထၢ၊ ပိာ်ခွါဆှိးထံအချံ၊ စုကမဲာ်ခီၣ်ကမဲာ်၊ ခီၣ်ဆံၣ်ဆၢ၊ ဃံ (ဟ့ၣ်ဃုာ်ဒီး (Doxycycline))။ နသူလၢပသိၣ်တၢ်ဃၢ်နုာ်သတူၢ်ကလာ်အဂီၢ်သ့၀ဲလီၤ၊ဘၣ်ဆၣ်ဖဲ၂သီအတီၢ်ပူၤမ့ၢ်တဂ့ၤထီၣ်ဘၣ်နၢ့်ဆီတလဲ လၢကသံၣ် (Amoxicillin) ။,,"- Can take with or without food.
- Give with at least one full glass of water.",Asthma; G6PD deficiency.,Blood disorders; liver or kidney failure; < 6 weeks of age.,"Headache, liver damage, blood disorders, renal disorders, pancreatitis.",Cotrimoxazole increases effect of Phenytoin.,Do not give.,Be careful if the newborn baby has jaundice.,,"Length of treatment: 
- For proSTATitis: 4 – 6 weeks.
- For septic arthritis: 4 tablets BID for 3 - 4 weeks.",,,"- အီၣ်ဒီးတၢ်အီၣ်သ့မ့တမ့ၢ်တအီၣ်ဒီးတၢ်အီၣ်ဘၣ်သ့၀ဲစ့ၢ်ကီးလီၤ။
 - ကဘၣ်အီလီၤဒီးထံတခွးလီၤ။",တၢ်သးဘံးတၢ်ဆါ၊ (ကၠံၤစံၣ်ဖံၤဒံၤ)လီၤထုး။,သွံၣ်တဘၣ်လီၢ်ဘၣ်စး၊ သူၣ်တမၤတၢ်မၤဘၣ်၊ ကလ့ၢ်တမၤတၢ်မၤဘၣ်၊ သးနံၣ်လၢစှၤနၢ့်၆နွံဖီလာ်။,ခိၣ်ဆါ၊ သူၣ်ဟးဂီၤ၊ သွံၣ်တဘၣ်လီၢ်ဘၣ်စး၊ ကလ့ၢ်တဘၣ်လီၢ်ဘၣ်စးဒီး က၀ၢ်ညီးထီၣ်။,(Cotrimoxazole) ကမၤအါထီၣ်ကသံၣ် (Phenytoin) အသဟီၣ်။,တဘၣ်ဟ့ၣ်ဘၣ်။,ကဘၣ်အိၣ်ဒီးတၢ်ပလီၢ်ပဒီဖဲဖိသၣ်အိၣ်ဖျဲၣ်သီဖံးမ့ၢ်လီၤဘီအခါ။,,"- လၢ ပိာ်ခွါဆှိးထံအချံတၢ်ဃၢ်နုာ်အဂီၢ်- ၄-၆နွံ။
 - စုကမဲာ်ခီၣ်ကမဲာ် ဘၣ်ထံရံယၤ ဃၢ်နုာ်- ၄ဖျၢၣ် BID လၢ၃=၄နွံ
 အတီၢ်ပူၤတက့ၢ်။",
Dapsone,,,See DRUGS AND G6PD DEFICIENCY,ကွၢ်လၢ ကသံၣ်တဖၣ်ဒီး(ကၠံၤစံၣ်ဖံၤဒံၤ)လီၤထုးတဖၣ ။,,,,,,,,,,,,,,,,,,,,,,
Dexamethasone,1 amp = 1cc = 4 mg,၁ ပလီ = ၁ cc = ၄ mg,Anti inflammatory: for severe allergic reactions / shock. Also for lungs’ maturation of foetus when mother has premature labour (28-34 weeks):,ကသံၣ်ကူစါတၢ်ညီး-ကသံၣ်ကူစါလၢတၢ်ဆါတကလုာ်လၢအဟဲကဲထီၣ်သးလၢဂာ်တဖီးတၢ်ဒိဆၢက့ၤတၢ်၊ ဂာ်တဖီးဒီးတၢ်တမံၤမံၤ(ရှီၣ်)။ ဖဲမိၢ်ဟၢဖၢဆါဘၣ်ဆၣ်အလါတၦဲၤဒံးဘၣ်န့ၣ် (၂၈=၃၄နွံ) ဖိသၣ်လၢအတအိၣ်ဖျဲၣ်ဒ်ဘၣ်အပသိၣ် ကၦၢ်ထီၣ်၀ဲအဂီၢ်။,See Prednisolone.,See Prednisolone.,See Prednisolone.,See Prednisolone.,See Prednisolone.,See Prednisolone.,Give only if necessary,Give only if necessary,,,,ကွၢ်လၢ (Prednisolone)။,,ကွၢ်လၢ (Prednisolone)။,ကွၢ်လၢ (Prednisolone)။,ကွၢ်လၢ (Prednisolone)။,ကွၢ်လၢ (Prednisolone)။,မ့ၢ်လိၣ်နီၢ်နီၢ်ဒီးဟ့ၣ်သ့။,မ့ၢ်လိၣ်နီၢ်နီၢ်ဒီးဟ့ၣ်သ့။,,,
Dextrose 50%,1 amp = 20cc,၁ ပလီ = ၂၀ cc,Concentrated glucose solution to use to treat very low blood sugar levels,မ့ၢ်၀ဲအံသၣ်ဆၢထံလၢအသဟီၣ်အါအါ လၢၦၤအံသၣ်ဆၢလၢသွံၣ်ပူၤလီၤစှၤဒိၣ်ဒိၣ်အဂီၢ်။,"- It is irritant to veins: give via a large vein and use a large canula.
- For CHILDREN is better to use 5cc / kg of a 10%dextrose solution, if available.",,,,,,,,,,,"- တၢ်ထံအံၤကမၤညီးထီၣ်သွံၣ်က့ၤကျိၤ၊ဟ့ၣ်ခီဖျိလၢသွံၣ်ကျိၤအဒိၣ်ဒီးထး (canula) လၢအဒိၣ်။
 - လၢဖိသၣ်အဂီၢ်သူအံသၣ်ဆၢထံလၢအသဟီၣ်စှၤတစဲး (10% dextrose solution) ဒီး ၁ kg နၢ့်ဟ့ၣ် ၅ cc နၣ့်ဂ့ၤဒိၣ်နၣ့်လီၤ။",,,,,,,,,,
Diazepam,"tab, 1 amp = 2 cc = 10 mg (0.2cc = 1mg)",ဖျၢၣ် ၁ ပလီ = ၂ cc = ၁၀ mg (၀ႉ၂ cc = ၁ mg),"There are NO indications for use of oral diazepam outside hospital.People can become addicted after only 2 weeks of use. Diazepam tablets should NOT be used outside hospital. To stop acute fitting (= seizures, convulsions).","ကသံၣ် (Diazepam) လၢအအီၣ်နၢ့်တဘၣ်သူလၢတၢ်ဆါဟံၣ်ချၢဘၣ်။
 ၦၤသူ၂ နွံလီၢ်ခံန့ၣ်ကဲထီၣ်ဒ်ၦၤ(စွဲ)တၢ်မူးတၢ်ဘှီးသ့လီၤ။
 ကသံၣ် (Diazepam) တကြၢးသူအီၤလၢတၢ်ဆါဟံၣ်ချၢဘၣ်။ တၢ်မၤပတုာ်တၢ်ထီၣ်သတူၢ်ကလာ် (တၢ်ထီၣ်=တၢ်ထီၣ်ကနိးနးနးကလဲာ်)။","If possible, calculate dose by kg.
Give injection over 3 - 5 minutes.If you can not find a vein, you can use Diazepam per rectum (PR)TO GIVE PR:
 • Insert the syringe (without needle!) into rectum 4 - 5 cm and inject.
 • Hold buttocks together for a few minutes.
Can give a 3rd dose after 10 more minutes if still having seizures.",,,,,,,,,,,"မ့ၢ်သ့နၢ့်ဂံၢ်ဒွးကသံၣ်(ဒိးစ်)လၢကံလိအဖီခိၣ်တက့ၢ်။
 ဟ့ၣ်ကသံၣ်ဆဲးလၢအယံာ်နၢ့် ၃=၅ မံးနံးတက့ၢ်။ ဃုသွံၣ်ကျိၤမ့ၢ်တထံၣ်ဘၣ်န့ၣ် နဒၢနုာ် (Diazepam) ထံလၢခံပူၤသ့၀ဲန့ၣ်လီၤ ကဘၣ်ဟ့ၣ်ကသံၣ်ထံလၢခံပူၤ
 • ဒၢနူာ်လီၤ (syringe) (တအိၣ်ဒီးထးဘၣ်)လၢခံပူၤခိၣ်ထီးဖဲအယီာ်ဒ်စုမုၢ်အဆၣ်တဘိ ၄-၅ cm ဒီးဆဲးလီၤ။
 • ဖီၣ်ဃာ်(မၤတံၢ်)ခံကိၢ်လၢစှၤမံးနံးအတီၢ်ပူၤ။ အမံးနံး၁၀အလီၢ်ခံမ့ၢ်တကိညၢ်လီၤဘၣ်န့ၣ်ဟ့ၣ်ကသံၣ်၃ဘျီတဘျီသ့။",,,,,,,,,,
Diclofenac,1 tab = 25 or 50 or 75 mg,၁ ဖျၢၣ် =၂၅ (မ့) ၅၀ (မ့) ၇၅ mg,To treat pain and inflammation.,ကသံၣ်ကူစါတၢ်အဆါဒီးတၢ်ညီး။,See Ibuprofen.,See Ibuprofen.,See Ibuprofen.,See Ibuprofen.,See Ibuprofen.,See Ibuprofen.,Do not give.,Do not give.,,,,ကွၢ်လၢ (Ibuprofen)။,ကွၢ်လၢ (Ibuprofen)။,ကွၢ်လၢ (Ibuprofen)။,ကွၢ်လၢ (Ibuprofen)။,ကွၢ်လၢ (Ibuprofen)။,ကွၢ်လၢ (Ibuprofen)။,တဘၣ်ဟ့ၣ်ဘၣ်။,တဘၣ်ဟ့ၣ်ဘၣ်။,,,
Dihydroartemisinin+Piperaquine,,,See MALARIA PROTOCOLS,ကွၢ်လၢ တၢ်ညၣ်ဂိၢ်ဃၢ်ကသံၣ်အကျိၤအကျဲ ။,,,,,,,,,,,,,,,,,,,,,,
